jobId	finding	confidence	hardFail	final	published	attempts
job_64b17962-a545-4c4b-bf1e-579132bf304f	envelope_corner_flattened	0.95	None	None	True	4
job_9e1bb0d3-d565-40af-a8c8-dbfa46558264	envelope_corner_flattened	0.95	None	None	True	2
